2	6	225
2	14	221
2	56	225
2	65	224
2	85	221
2	217	227
2	232	226
2	236	222
2	280	224
2	289	224
2	309	224
2	441	224
2	455	223
2	460	224
2	505	225
2	513	224
2	533	224
2	662	221
2	676	221
2	684	224
2	730	225
2	738	225
2	754	221
2	887	225
2	899	223
2	907	223
2	957	227
2	962	224
2	977	223
2	1108	221
2	1124	225
2	1130	223
2	1181	224
2	1187	225
2	1199	222
2	1332	224
2	1347	223
2	1350	220
2	1404	223
2	1408	221
2	1421	222
2	1554	222
2	1570	223
2	1571	221
2	1628	224
2	1634	226
2	1648	227
2	1780	226
2	1792	222
2	1799	228
2	1856	228
2	1859	225
2	1872	224
2	2004	224
2	2014	222
2	2022	223
2	2081	225
2	2083	224
2	2097	225
2	2227	223
2	2241	227
2	2246	224
2	2303	222
2	2307	224
2	2322	225
2	2446	219
2	2465	224
2	2472	226
2	2536	233
2	2540	233
2	2544	222
2	2673	227
2	2689	224
2	2696	224
2	2760	224
2	2763	223
2	2766	222
2	2895	222
2	2914	225
2	2920	224
2	2982	222
2	2984	221
2	2994	228
2	3119	224
2	3135	221
2	3147	227
2	3205	223
2	3209	225
2	3216	222
2	3341	222
2	3355	220
2	3369	222
2	3428	223
2	3430	221
2	3442	226
2	3564	223
2	3579	224
2	3595	226
2	3650	222
2	3654	224
2	3667	225
2	3783	219
2	3801	222
2	3818	223
2	3873	223
2	3876	222
2	3889	222
2	4008	225
2	4022	221
2	4044	226
2	4095	222
2	4102	226
2	4115	226
2	4231	223
2	4243	221
2	4268	224
2	4327	232
2	4330	228
2	4340	225
2	4454	223
2	4469	226
2	4492	224
2	4549	222
2	4555	225
2	4563	223
2	4673	219
2	4692	223
2	4718	226
2	4771	222
2	4778	223
2	4788	225
2	4895	222
2	4915	223
2	4942	224
2	5005	234
2	5007	229
2	5014	226
2	5119	224
2	5138	223
2	5165	223
2	5225	220
2	5232	225
2	5239	225
2	5342	223
2	5358	220
2	5389	224
2	5447	222
2	5456	224
2	5464	225
2	5566	224
2	5583	225
2	5611	222
2	5670	223
2	5680	224
2	5690	226
2	5790	224
2	5808	225
2	5848	237
2	5897	227
2	5905	225
2	5912	222
2	6012	222
2	6031	223
2	6069	221
2	6124	227
2	6126	221
2	6137	225
2	6237	225
2	6256	225
2	6295	226
2	6345	221
2	6349	223
2	6362	225
2	6458	221
2	6479	223
2	6517	222
2	6563	218
2	6572	223
2	6586	224
2	6684	226
2	6701	222
2	6741	224
2	6787	224
2	6793	221
2	6809	223
2	6909	225
2	6925	224
2	6963	222
2	7008	221
2	7019	226
2	7029	220
2	7135	226
2	7147	222
2	7185	222
2	7232	224
2	7245	226
2	7261	232
