0.072620	0.320500	0.187330	0.126500	0.093766	0.190500	
0.071350	0.317000	0.192934	0.126000	0.104948	0.188500	
0.072452	0.321000	0.191642	0.130000	0.101626	0.197000	
0.070858	0.316500	0.186632	0.117000	0.080912	0.194000	
0.071658	0.316500	0.195086	0.127500	0.104518	0.193500	
0.073768	0.329500	0.194778	0.122500	0.094144	0.203000	
0.074296	0.324000	0.189790	0.126500	0.092704	0.198500	
0.073154	0.325500	0.190366	0.125500	0.089500	0.200000	
0.072160	0.320000	0.187470	0.135500	0.108356	0.187000	
0.071182	0.315500	0.190876	0.127000	0.101720	0.190000	
0.069294	0.308000	0.189196	0.123000	0.109104	0.177500	
0.072422	0.323000	0.207832	0.133000	0.134306	0.187500	
0.069662	0.311500	0.214626	0.125500	0.138826	0.188000	
0.074396	0.326500	0.213952	0.133000	0.137182	0.196000	
0.074568	0.326000	0.211422	0.132000	0.134662	0.193500	
0.081312	0.324500	0.212248	0.125000	0.128884	0.195000	
0.072274	0.323000	0.214250	0.131000	0.137774	0.193000	
0.074576	0.330000	0.219186	0.124000	0.126960	0.208000	
0.084038	0.324500	0.209850	0.129500	0.130620	0.192500	
0.087240	0.319500	0.207978	0.131000	0.126114	0.197000	
0.079856	0.322000	0.208010	0.131000	0.195510	0.184500	
0.071568	0.318500	0.206992	0.130500	0.189336	0.191000	
0.073010	0.324500	0.217132	0.125000	0.193126	0.201500	
0.071834	0.320500	0.208642	0.132000	0.196794	0.184500	
0.072726	0.320000	0.216198	0.130000	0.199600	0.191500	
0.091514	0.321000	0.201398	0.134000	0.186542	0.188000	
0.073386	0.326000	0.217786	0.122500	0.189074	0.200500	
0.070368	0.314500	0.217228	0.124500	0.201542	0.188000	
0.072660	0.323500	0.214786	0.132000	0.198824	0.193500	
0.073006	0.324500	0.210590	0.132500	0.196654	0.194000	
0.071050	0.316500	0.240288	0.131500	0.227450	0.192000	
0.080172	0.327500	0.234394	0.131500	0.224982	0.187500	
0.075100	0.326000	0.240032	0.135500	0.230738	0.196000	
0.074534	0.325500	0.240616	0.127500	0.218468	0.199000	
0.070482	0.313500	0.239414	0.124000	0.225634	0.183000	
0.076878	0.335000	0.243232	0.132000	0.223728	0.206000	
0.075464	0.316500	0.232946	0.126500	0.219550	0.184500	
0.071604	0.317500	0.247410	0.124500	0.230504	0.195000	
0.070904	0.315500	0.243892	0.126500	0.228180	0.193500	
0.093530	0.326500	0.224962	0.131500	0.206314	0.193000	
0.072452	0.322000	0.277632	0.126000	0.187022	0.176000	
0.071280	0.318000	0.307642	0.128000	0.230150	0.188500	
0.089360	0.324500	0.299708	0.129000	0.213850	0.194000	
0.072304	0.320000	0.308382	0.127500	0.222118	0.200000	
0.093224	0.304000	0.272006	0.131000	0.180422	0.187500	
0.074228	0.325000	0.300370	0.123000	0.220242	0.182000	
